population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
1,All Population,44,Population,20,Vietnam,1,Male,1,<5 years,1,Number,1990,4910070.071203005,5301105.874863962,4513704.453333591
1,All Population,44,Population,20,Vietnam,2,Female,1,<5 years,1,Number,1990,4663047.440563834,5034410.471434654,4286622.735186742
1,All Population,44,Population,20,Vietnam,3,Both,1,<5 years,1,Number,1990,9573117.511766838,10335516.346298613,8800327.188520333
1,All Population,44,Population,20,Vietnam,1,Male,1,<5 years,1,Number,1991,4925996.3664049655,5338106.45680856,4535624.440520514
1,All Population,44,Population,20,Vietnam,2,Female,1,<5 years,1,Number,1991,4675838.572619739,5067020.399308994,4305290.97717957
1,All Population,44,Population,20,Vietnam,3,Both,1,<5 years,1,Number,1991,9601834.939024704,10405126.856117554,8840915.417700086
1,All Population,44,Population,20,Vietnam,1,Male,1,<5 years,1,Number,1992,4912556.684925693,5322725.914622796,4496765.9359340845
1,All Population,44,Population,20,Vietnam,2,Female,1,<5 years,1,Number,1992,4661207.966122516,5050391.074541223,4266690.960876184
1,All Population,44,Population,20,Vietnam,3,Both,1,<5 years,1,Number,1992,9573764.65104821,10373116.98916402,8763456.896810269
1,All Population,44,Population,20,Vietnam,1,Male,1,<5 years,1,Number,1993,4862545.262356075,5305385.372638241,4418579.6438683
1,All Population,44,Population,20,Vietnam,2,Female,1,<5 years,1,Number,1993,4612057.990635837,5032085.807140171,4190962.644919304
1,All Population,44,Population,20,Vietnam,3,Both,1,<5 years,1,Number,1993,9474603.252991913,10337471.17977841,8609542.288787603
1,All Population,44,Population,20,Vietnam,1,Male,1,<5 years,1,Number,1994,4771867.576854267,5272903.683943431,4288662.687303349
1,All Population,44,Population,20,Vietnam,2,Female,1,<5 years,1,Number,1994,4524236.389821028,4999271.740613683,4066106.9237709935
1,All Population,44,Population,20,Vietnam,3,Both,1,<5 years,1,Number,1994,9296103.966675296,10272175.424557114,8354769.611074343
1,All Population,44,Population,20,Vietnam,1,Male,1,<5 years,1,Number,1995,4645119.568341471,5067480.825466171,4191497.619944429
1,All Population,44,Population,20,Vietnam,2,Female,1,<5 years,1,Number,1995,4401711.248009365,4801940.406561028,3971859.4856970096
1,All Population,44,Population,20,Vietnam,3,Both,1,<5 years,1,Number,1995,9046830.816350836,9869421.2320272,8163357.105641439
1,All Population,44,Population,20,Vietnam,1,Male,1,<5 years,1,Number,1996,4497359.211494439,4879916.260795998,4119649.803111489
1,All Population,44,Population,20,Vietnam,2,Female,1,<5 years,1,Number,1996,4259013.442363117,4621296.1818165,3901321.4342400967
1,All Population,44,Population,20,Vietnam,3,Both,1,<5 years,1,Number,1996,8756372.653857557,9501212.442612495,8020971.237351585
1,All Population,44,Population,20,Vietnam,1,Male,1,<5 years,1,Number,1997,4341081.039935437,4701180.840311627,3979931.811154818
1,All Population,44,Population,20,Vietnam,2,Female,1,<5 years,1,Number,1997,4108204.9721467607,4448987.32031424,3766429.49186557
1,All Population,44,Population,20,Vietnam,3,Both,1,<5 years,1,Number,1997,8449286.012082197,9150168.160625868,7746361.30302039
1,All Population,44,Population,20,Vietnam,1,Male,1,<5 years,1,Number,1998,4185324.6282601706,4490357.904528552,3888584.776256064
1,All Population,44,Population,20,Vietnam,2,Female,1,<5 years,1,Number,1998,3958002.048328273,4246467.684691685,3677379.385483331
1,All Population,44,Population,20,Vietnam,3,Both,1,<5 years,1,Number,1998,8143326.676588443,8736825.589220239,7565964.161739394
1,All Population,44,Population,20,Vietnam,1,Male,1,<5 years,1,Number,1999,4044193.080794304,4328213.677579293,3771459.6765416097
1,All Population,44,Population,20,Vietnam,2,Female,1,<5 years,1,Number,1999,3821457.933788232,4089836.011011511,3563745.4035828663
1,All Population,44,Population,20,Vietnam,3,Both,1,<5 years,1,Number,1999,7865651.014582536,8418049.688590804,7335205.080124477
1,All Population,44,Population,20,Vietnam,1,Male,1,<5 years,1,Number,2000,3927565.07862654,4230918.339808694,3648419.9067197023
1,All Population,44,Population,20,Vietnam,2,Female,1,<5 years,1,Number,2000,3707508.1485523153,3993864.877265275,3444003.1578633897
1,All Population,44,Population,20,Vietnam,3,Both,1,<5 years,1,Number,2000,7635073.227178855,8224783.21707397,7092423.064583093
1,All Population,44,Population,20,Vietnam,1,Male,1,<5 years,1,Number,2001,3837633.6619774974,4134649.9297570656,3529404.7018960086
