population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,1990,134043.7300819021,149838.5612211713,121530.06742990664
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1990,195.56440986233252,218.60843309817523,177.307479454185
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1990,216.3481930941831,254.9073344657675,184.89072252859455
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,1991,130327.53821278011,148039.79879484625,117836.01246853758
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1991,186.3995385328382,211.7323058370145,168.53367022727429
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1991,208.322471061179,248.0776738103945,178.25737898145383
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,1,Number,1991,2136.431370571383,4403.772060283302,1025.1205736025056
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,3,Rate,1991,3.0556076408917674,6.298446906136059,1.4661675074998666
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,386,Nutritional deficiencies,3,Rate,1991,3.978281567758315,8.381727829378214,1.899245750369524
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,1,Number,1990,2134.204235853015,4536.45065927923,1022.5023960330328
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,3,Rate,1990,3.1137181250869763,6.618499019010164,1.4917898624638424
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,386,Nutritional deficiencies,3,Rate,1990,4.014019892400652,8.450480815016519,1.8865553182399892
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,1992,125908.66146290745,144576.6587505346,113236.54646497373
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1992,176.64068472325616,202.8305257158063,158.86263002773964
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1992,200.30302914290436,239.08878422811284,170.7638553487941
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,1,Number,1992,2132.709290458964,4311.294399155747,1086.8049625302226
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,3,Rate,1992,2.9920358536517666,6.048432140109462,1.5247082330275326
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,386,Nutritional deficiencies,3,Rate,1992,3.94407938834177,7.990827844588223,2.0057088779712844
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,1,Number,1993,2113.2781178835166,4096.069912305799,1120.496687124196
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,3,Rate,1993,2.910631528916372,5.641543406195494,1.5432672860192802
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,386,Nutritional deficiencies,3,Rate,1993,3.900799755279813,7.571878461488799,2.077238068184226
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,1993,120817.68757148068,138222.024816353,108036.22700723492
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1993,166.40297730831026,190.37408281313284,148.79898955626103
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1993,192.07454893658976,228.02238536800328,163.46754105452126
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,1,Number,1995,2050.669819545811,3472.977550555286,1154.8908157215742
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,3,Rate,1995,2.731616237845642,4.626216166223864,1.5383844220531655
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,386,Nutritional deficiencies,3,Rate,1995,3.772110502820127,6.479790419252137,2.056478003539437
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,1,Number,1994,2095.121992211716,3848.128363009952,1106.0093695944367
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,3,Rate,1994,2.836460128104986,5.209750415528375,1.4973598147635367
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,386,Nutritional deficiencies,3,Rate,1994,3.863632942084905,7.05998998132278,2.0155094558487767
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,1995,110139.945049245,124819.2257502089,98034.66141135724
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1995,146.71306880528425,166.26675859993304,130.58809879119138
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1995,175.5125586252681,206.12153963978167,152.10070529992956
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,1994,115308.84682189558,130705.9666226771,103535.55104399004
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1994,156.1097385469195,176.95497646858746,140.1705788347143
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1994,183.70018873414156,214.2237448290544,158.11021482945034
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,1998,94836.58498126084,108042.42137039306,83991.79627137994
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1998,120.83086824969506,137.65636525781227,107.01357151702246
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1998,150.45981879432995,175.35277148138243,131.47967335136673
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,1997,99401.93704555722,113477.79568694095,88041.57273833634
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1997,128.4253737770674,146.61111000094368,113.74800353900206
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1997,158.03204827664516,183.69124401205124,137.56399341201694
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,1996,104780.21684492777,118454.09194954787,93430.40698191944
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1996,137.41017628786128,155.3422787900427,122.52588399423276
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1996,166.70126872610263,194.2127927984353,144.18070972893582
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,1,Number,1996,1995.8330735439752,3398.11934124149,1148.263383170078
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,3,Rate,1996,2.617362157998792,4.45633910472087,1.50584794207681
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,386,Nutritional deficiencies,3,Rate,1996,3.6453268262213614,6.195463186137057,2.09717179162483
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,1,Number,1998,1856.724877950763,3050.0582729522566,1080.882382867753
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,3,Rate,1998,2.3656448526476344,3.886065587513596,1.377147403858083
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,386,Nutritional deficiencies,3,Rate,1998,3.33779269225527,5.409701443639011,1.9406241231172416
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,1,Number,1997,1924.183764713428,3176.5385686942736,1093.348861199477
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,3,Rate,1997,2.486008085394059,4.1040261903031565,1.4125855123318192
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,386,Nutritional deficiencies,3,Rate,1997,3.489854876100972,5.706783746962858,1.9896257373212536
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,344,Neglected tropical diseases and malaria,1,Number,1990,1688.534432298254,5133.596373126213,546.2246643567092
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1990,2.4635038101585995,7.489710593463907,0.7969198117054871
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,344,Neglected tropical diseases and malaria,3,Rate,1990,2.6548032173762373,8.34576837299059,0.8120603564652603
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,344,Neglected tropical diseases and malaria,1,Number,1991,1666.8114339225535,5104.818068607361,547.9070102812426
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1991,2.3839388540982607,7.301110305091281,0.7836380190699841
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,344,Neglected tropical diseases and malaria,3,Rate,1991,2.6014838444119013,8.24505274875327,0.8214987769869414
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,1,Number,1990,2054.464531620545,2901.885712034052,1216.8508299013558
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,3,Rate,1990,2.997381104390138,4.233734516453119,1.7753364092057458
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,955,HIV/AIDS and sexually transmitted infections,3,Rate,1990,3.0097690603755303,4.251162595290258,1.7782762472349167
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,956,Respiratory infections and tuberculosis,1,Number,1990,60852.3842342588,75623.95624286805,47808.49666896075
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,956,Respiratory infections and tuberculosis,3,Rate,1990,88.78118062081212,110.33230994881228,69.7506733941071
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,956,Respiratory infections and tuberculosis,3,Rate,1990,121.4272822151878,153.42867444020075,91.23574203811148
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,957,Enteric infections,1,Number,1990,9907.030650566714,14564.547870443845,6212.421689884265
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,957,Enteric infections,3,Rate,1990,14.45395917796612,21.249089438608568,9.06367333150038
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,957,Enteric infections,3,Rate,1990,18.33689252371995,29.8570025627126,10.30578129387912
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,961,Other infectious diseases,1,Number,1990,23680.95305808421,31621.634394988992,16677.453537673147
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,961,Other infectious diseases,3,Rate,1990,34.54955787154059,46.13469250340865,24.33173380887491
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,961,Other infectious diseases,3,Rate,1990,29.06613698216867,38.393266811058176,21.2770320122608
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,962,Maternal and neonatal disorders,1,Number,1990,33726.15893922044,38770.70476161655,29228.657445758225
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,962,Maternal and neonatal disorders,3,Rate,1990,49.205109152377965,56.564898574662806,42.64343539944311
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,962,Maternal and neonatal disorders,3,Rate,1990,37.83928920295428,43.98446775816599,32.277381759916
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,344,Neglected tropical diseases and malaria,1,Number,1992,1717.2682169078694,5159.193568343079,520.9505236586314
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1992,2.409202275392747,7.237972939617156,0.7308556547009982
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,344,Neglected tropical diseases and malaria,3,Rate,1992,2.645573036465484,8.180092548861154,0.7739680258740395
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,1,Number,1991,2271.6257328087413,3231.477042046257,1335.906431394484
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,3,Rate,1991,3.2489679013467896,4.621784756138488,1.910665587256247
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,955,HIV/AIDS and sexually transmitted infections,3,Rate,1991,3.270209707883504,4.624813563278787,1.9389020524177816
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,956,Respiratory infections and tuberculosis,1,Number,1991,59611.02183367133,74805.86642872388,46786.73834488185
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,956,Respiratory infections and tuberculosis,3,Rate,1991,85.25801310791329,106.99027368335511,66.91622167146426
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,956,Respiratory infections and tuberculosis,3,Rate,1991,117.17728386607,152.09149405427883,87.80843289127694
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,957,Enteric infections,1,Number,1991,9241.566026736002,13794.659511314616,5955.741776211931
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,957,Enteric infections,3,Rate,1991,13.217648904653528,19.729661147505084,8.518134646985816
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,957,Enteric infections,3,Rate,1991,16.79232710799944,27.10229707490058,9.46993128677416
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,961,Other infectious diseases,1,Number,1991,22642.70719847698,30230.942718067883,15711.52763417026
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,961,Other infectious diseases,3,Rate,1991,32.384484743658014,43.23747574254372,22.471240850677606
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,961,Other infectious diseases,3,Rate,1991,27.577594759182887,36.57235131822867,19.77389739570703
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,962,Maternal and neonatal disorders,1,Number,1991,32757.374616593133,38031.91966298268,27774.05970303855
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,962,Maternal and neonatal disorders,3,Rate,1991,46.8508773802766,54.39473784215757,39.72354563605355
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,962,Maternal and neonatal disorders,3,Rate,1991,36.92529020787283,43.13686480972108,31.095401781837488
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,1,Number,2000,1701.6981125176849,2785.814129539046,1069.8718512041924
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,3,Rate,2000,2.1128188182345737,3.458851175597516,1.3283468810923929
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,386,Nutritional deficiencies,3,Rate,2000,2.984367376919508,4.866246566908302,1.8661241273168965
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,2000,87162.57776417104,99380.447587588,77546.66267462971
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,2000,108.22056696854987,123.39020551475672,96.28150080500464
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,2000,136.13779085518212,157.61704677316715,119.6302581406442
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,1,Number,1999,1778.3481551975449,2811.918977162577,1082.4979758871846
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,3,Rate,1999,2.2360541168896084,3.5356423245176947,1.3611080869810497
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,386,Nutritional deficiencies,3,Rate,1999,3.164426221296679,5.104605050916661,1.9314311012080911
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,1999,90350.86485233351,103916.04356520306,80643.90802667248
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1999,113.60510186215753,130.6616459469607,101.39979734456271
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1999,142.617504308326,165.80497073492822,124.81219696060587
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,2001,85123.22589055804,96290.9769061297,75643.01836874906
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,2001,104.40815628287687,118.10599586970346,92.78017839346133
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,2001,130.9676091897004,150.67821911669503,115.8666394338689
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,1,Number,2001,1642.3199332182596,2757.0133648759197,1054.404571650852
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,3,Rate,2001,2.0143925991996023,3.3816232792215466,1.2932831921083618
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,386,Nutritional deficiencies,3,Rate,2001,2.8280607043059605,4.761480919580254,1.792883053978854
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,1,Number,1992,2501.414719412049,3816.517027103371,1391.84095422196
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,3,Rate,1992,3.5093027253247806,5.35429551146575,1.952651519943815
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,955,HIV/AIDS and sexually transmitted infections,3,Rate,1992,3.5332636858603284,5.338637720444615,1.988041152861728
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,956,Respiratory infections and tuberculosis,1,Number,1992,58028.78613257301,72870.64949973757,46101.82673618213
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,956,Respiratory infections and tuberculosis,3,Rate,1992,81.4101619143716,102.23221559427118,64.67750627363463
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,956,Respiratory infections and tuberculosis,3,Rate,1992,112.66089575834188,145.0496735171772,84.44276375212151
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,957,Enteric infections,1,Number,1992,8672.452756148878,12807.759593105307,5622.437371912376
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,957,Enteric infections,3,Rate,1992,12.166819782509789,17.968354186367616,7.887870267613074
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,957,Enteric infections,3,Rate,1992,15.438455758361007,23.829237196330425,8.81748313286183
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,961,Other infectious diseases,1,Number,1992,21584.000127600928,28383.422376310376,15155.905016323944
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,961,Other infectious diseases,3,Rate,1992,30.280780665192548,39.819875019621904,21.26263124854823
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,961,Other infectious diseases,3,Rate,1992,26.319105934292978,34.613576707254985,19.003210498128503
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,962,Maternal and neonatal disorders,1,Number,1992,31272.03021980569,36154.02721927805,26845.9324365018
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,962,Maternal and neonatal disorders,3,Rate,1992,43.87238150681296,50.72146784276561,37.66288857748651
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,962,Maternal and neonatal disorders,3,Rate,1992,35.76165558124095,41.59714557412504,30.517678637833196
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,1,Number,2003,1607.016676999449,2685.735239678961,1004.0473783807248
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,3,Rate,2003,1.926449715114499,3.2195894177109885,1.2036258327166502
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,386,Nutritional deficiencies,3,Rate,2003,2.646383898145868,4.4532471051588445,1.6387962561173657
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,2003,81634.1615535344,91231.37812254738,73386.55143574823
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,2003,97.8609055644985,109.36579869341624,87.97388547989607
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,2003,121.41121526508113,137.1551803595865,109.3566798316978
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,344,Neglected tropical diseases and malaria,1,Number,1994,1753.9530998580638,4720.561624648283,508.7342464953827
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1994,2.3745720071706464,6.390885533325204,0.6887448135954972
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,344,Neglected tropical diseases and malaria,3,Rate,1994,2.6426810300360755,7.216183309488034,0.7421697140800932
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,344,Neglected tropical diseases and malaria,1,Number,1993,1844.9278303931228,5588.722250117214,557.2189951337
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1993,2.54103095388862,7.697383060890723,0.7674613019565851
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,344,Neglected tropical diseases and malaria,3,Rate,1993,2.8126453310752786,8.661505030908572,0.8349836328436075
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,344,Neglected tropical diseases and malaria,1,Number,1995,1769.9063305267937,5391.214093862605,520.495012712867
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1995,2.357622288020795,7.18142326967054,0.6933308399491853
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,344,Neglected tropical diseases and malaria,3,Rate,1995,2.641430126853576,8.107370254215143,0.7553725613897999
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,1,Number,2002,1605.8066370282556,2660.698138717504,1020.879470050963
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,3,Rate,2002,1.9465522807100089,3.225287472834317,1.2375059455696853
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,386,Nutritional deficiencies,3,Rate,2002,2.7064613032045965,4.522300163925772,1.7126731946827782
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,2002,83430.30753949993,93822.39619745823,74524.47265708637
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,2002,101.1338798062855,113.73112745244364,90.33826294791284
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,2002,126.22839301488357,144.12384433214555,111.60066223782454
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,1,Number,2004,1623.7316815742251,2668.728832390045,1011.824124025422
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,3,Rate,2004,1.9254814986864497,3.164678037689214,1.1998587284117823
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,386,Nutritional deficiencies,3,Rate,2004,2.6085696029680894,4.311804289054001,1.6201193539875416
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,1,Number,2005,1615.657460341424,2613.2847147346106,1008.0022143838509
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,3,Rate,2005,1.895285516894389,3.065575960829799,1.1824610381927525
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,386,Nutritional deficiencies,3,Rate,2005,2.532692717306925,4.097661503229828,1.561027503000741
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,2004,79971.68850060545,89181.89265930362,71889.07786521626
