year,All,CMNN,Injuries,NCD,C_only,MNN,CMNN_check,ncd_share_main_pct,ncd_share_vs_Conly_pct,ncd_share_vs_MNN_pct
1990,40926.16767332348,13295.903151073013,5942.026453785918,21688.23806846452,8908.82091392296,4387.082237150057,13295.903151073016,52.99357184279284,59.356269620786236,67.73902357195391
1991,40411.1743031748,12886.364592839283,5961.89152494427,21562.918185391216,8584.674179131032,4301.6904137082565,12886.364592839289,53.358801265265875,59.71538737966101,67.7514590085299
1992,39752.37567025308,12451.660612655824,5875.250718479755,21425.4643391175,8256.613326325669,4195.047286330157,12451.660612655825,53.89731802909654,60.25611403584787,68.02649862910357
1993,39070.023495388086,12005.378394986728,5811.989423608615,21252.65567679271,7932.033364741055,4073.345030245668,12005.378394986723,54.39632172041421,60.727636475447,68.25313897146873
1994,38360.19818234842,11536.531349165867,5761.3773117656965,21062.289521416817,7595.034732071493,3941.496617094373,11536.531349165865,54.90662332164051,61.194317518007104,68.46149072296657
1995,37636.13072686035,11077.57795314631,5693.911787369146,20864.64098634492,7277.230435470952,3800.347517675356,11077.577953146309,55.43779496826468,61.664424486207935,68.72660335546699
1996,36925.200720298766,10563.154094014011,5692.322493551381,20669.724132733416,6913.796828044033,3649.357265969982,10563.154094014015,55.97728307369957,62.11630416251555,68.8728998048231
1997,36346.712357589866,10021.627835602829,5845.7385598122455,20479.34596217476,6539.782368504061,3481.8454670987658,10021.627835602827,56.34442466403241,62.31379555077443,68.70665972535099
1998,35423.90021071152,9536.214604723198,5563.295120204938,20324.39048578337,6227.834676939941,3308.379927783246,9536.214604723187,57.37479601311,63.2852599202239,69.61345686210296
1999,34604.707277041285,8992.389765719368,5502.598325121205,20109.71918620073,5865.53187748267,3126.8578882366946,8992.389765719365,58.112669542916905,63.8853021304338,69.97319479983956
2000,33919.28908550611,8548.980685695717,5409.902065934576,19960.40633387581,5611.157725418963,2937.8229602767556,8548.980685695718,58.846770884726475,64.42692625711898,70.51121135469523
2001,33408.106571053766,8175.2613634378595,5333.89569606322,19898.949511552684,5405.38521944065,2769.876143997207,8175.261363437857,59.56323645349598,64.94810318411851,71.06077035047308
2002,32963.93773309109,7837.567475849226,5253.518716923014,19872.851540318858,5216.338569145255,2621.2289067039737,7837.567475849229,60.28664324398765,65.49465195749663,71.62007575106128
2003,32552.47587189104,7478.707415940424,5195.216773596281,19878.551682354355,4993.814088960245,2484.8933269801805,7478.707415940426,61.06617438435584,66.11290299997503,72.13177417296315
2004,32117.46174744192,7134.123106687969,5134.763240468083,19848.575400285885,4769.612612113983,2364.5104945739836,7134.123106687966,61.79995030854756,66.71128262737513,72.57819546271189
2005,31789.441219534576,6927.305120200395,5031.6685865045465,19830.46751282964,4668.194070987969,2259.111049212426,6927.305120200395,62.380673431415445,67.1528811173238,73.11783047518273
2006,31472.120718080187,6716.203323489724,4963.194409410863,19792.722985179567,4554.026536078503,2162.17678741122,6716.2033234897235,62.88970216681017,67.52903735332339,73.52943656172232
2007,31164.21725663768,6532.60734761169,4845.340121076069,19786.269787949943,4447.806134282379,2084.8012133293073,6532.607347611687,63.49034735899115,68.04218406064953,74.06035824697096
2008,30850.54276607258,6334.040954790023,4742.493500408945,19774.00831087365,4342.566218313859,1991.4747364761633,6334.040954790023,64.096143982983,68.51921999211613,74.59644562174451
2009,30603.88653704408,6124.373546065735,4694.309450968107,19785.20354001026,4190.9837873395345,1933.3897587262009,6124.373546065735,64.6493167332244,69.00893170073303,74.90734254958615
2010,30296.0089796681,5870.214160175966,4682.956462112554,19742.838357379573,4001.617353790241,1868.5968063857185,5870.2141601759595,65.16646588872203,69.45000212131504,75.08383779432833
2011,29911.010902988644,5599.87274703558,4649.397182855836,19661.740973097207,3790.5563918434473,1809.3163551921366,5599.872747035584,65.73412392134384,69.966389178616,75.27334933895526
2012,29623.07084143425,5365.117415833795,4611.800083317958,19646.1533422825,3611.428476895776,1753.6889389380217,5365.117415833798,66.32044816502656,70.49368160017504,75.52830792824518
2013,29340.77664530927,5252.789378563495,4449.075334163549,19638.91193258221,3545.3023093365823,1707.4870692269117,5252.789378563494,66.93385171766374,71.0697576504986,76.13316846511745
