population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower,cause_group
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,409,Non-communicable diseases,1,Number,1990,31529.26246501589,37113.16791366729,27010.318851707096,NCD
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,409,Non-communicable diseases,3,Rate,1990,305.8713401454329,360.0418633132199,262.0322132207836,NCD
1,All Population,1,Deaths,66,Brunei Darussalam,3,Both,22,All ages,409,Non-communicable diseases,1,Number,1992,786.2282734142966,811.8410029119284,755.8190522573595,NCD
1,All Population,1,Deaths,66,Brunei Darussalam,3,Both,22,All ages,409,Non-communicable diseases,3,Rate,1992,285.0814263590269,294.36844096411613,274.0552340494574,NCD
1,All Population,1,Deaths,66,Brunei Darussalam,3,Both,22,All ages,409,Non-communicable diseases,1,Number,1991,774.0586987822297,799.1093747068152,744.025852371731,NCD
1,All Population,1,Deaths,66,Brunei Darussalam,3,Both,22,All ages,409,Non-communicable diseases,3,Rate,1991,288.4887465669693,297.8250386459921,277.2956184095912,NCD
1,All Population,1,Deaths,18,Thailand,3,Both,22,All ages,687,Injuries,1,Number,1990,44193.50170266301,49043.36121581979,37808.02257030784,Injuries
1,All Population,1,Deaths,18,Thailand,3,Both,22,All ages,687,Injuries,3,Rate,1990,77.43439861047425,85.93216276759584,66.24597231693478,Injuries
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,294,All causes,1,Number,1990,109280.7502036091,111998.26951830722,106188.870725555,All
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,294,All causes,3,Rate,1990,1060.1532323810206,1086.5164013761755,1030.15832461653,All
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,1990,64988.52274236901,70749.67585425005,59525.6945737417,CMNN
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1990,630.4659542016444,686.3559904836331,577.4700246337941,CMNN
1,All Population,1,Deaths,20,Vietnam,3,Both,22,All ages,294,All causes,1,Number,1990,437504.2839177547,448342.133969097,426930.5173902532,All
1,All Population,1,Deaths,20,Vietnam,3,Both,22,All ages,294,All causes,3,Rate,1990,638.3011502614847,654.1131375000687,622.8744502606012,All
1,All Population,1,Deaths,20,Vietnam,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,1990,134043.7300819021,149838.5612211713,121530.06742990664,CMNN
1,All Population,1,Deaths,20,Vietnam,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1990,195.56440986233252,218.60843309817523,177.307479454185,CMNN
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,409,Non-communicable diseases,1,Number,1992,33128.43044700204,38268.31775989503,28691.34969249587,NCD
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,409,Non-communicable diseases,3,Rate,1992,305.4346293222029,352.8229165120487,264.526017074685,NCD
1,All Population,1,Deaths,69,Singapore,3,Both,22,All ages,294,All causes,1,Number,1992,14233.648783684066,14444.991608250728,14017.07596908724,All
1,All Population,1,Deaths,69,Singapore,3,Both,22,All ages,294,All causes,3,Rate,1992,440.5989648268764,447.1410280141038,433.8950086332696,All
1,All Population,1,Deaths,69,Singapore,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,1992,1725.2739284922748,1826.125632952555,1621.618601689663,CMNN
1,All Population,1,Deaths,69,Singapore,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1992,53.40541406416146,56.527252832387965,50.19678988197883,CMNN
1,All Population,1,Deaths,69,Singapore,3,Both,22,All ages,294,All causes,1,Number,1991,13985.432160973292,14191.965709524986,13758.922622695198,All
1,All Population,1,Deaths,69,Singapore,3,Both,22,All ages,294,All causes,3,Rate,1991,446.1301265122841,452.71847051795,438.9045558037694,All
1,All Population,1,Deaths,69,Singapore,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,1991,1659.6110035138147,1751.2520214984052,1565.0516641185457,CMNN
1,All Population,1,Deaths,69,Singapore,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1991,52.940978758233065,55.86429342428016,49.924570715795184,CMNN
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,409,Non-communicable diseases,1,Number,1993,33805.94750246178,38684.00603303802,29496.689130675,NCD
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,409,Non-communicable diseases,3,Rate,1993,304.49026209763366,348.42694869381955,265.67676009547216,NCD
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,409,Non-communicable diseases,1,Number,1991,32317.733724989324,37775.44878673463,28092.6051650501,NCD
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,409,Non-communicable diseases,3,Rate,1991,305.43546151334635,357.0164211461548,265.503698270295,NCD
1,All Population,1,Deaths,12,Lao PDR,3,Both,22,All ages,409,Non-communicable diseases,1,Number,1996,19312.178549042143,21905.3261256144,16708.132899261,NCD
1,All Population,1,Deaths,12,Lao PDR,3,Both,22,All ages,409,Non-communicable diseases,3,Rate,1996,394.2895259763597,447.2328501154242,341.12369995286684,NCD
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,687,Injuries,1,Number,1996,12727.397061120368,15272.44979849498,10068.520168268156,Injuries
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,687,Injuries,3,Rate,1996,108.29838860608751,129.9544357185926,85.67380310639476,Injuries
1,All Population,1,Deaths,66,Brunei Darussalam,3,Both,22,All ages,409,Non-communicable diseases,1,Number,1994,801.9580166073018,825.8750243415852,775.796251443509,NCD
1,All Population,1,Deaths,66,Brunei Darussalam,3,Both,22,All ages,409,Non-communicable diseases,3,Rate,1994,275.8057343390839,284.0311622851181,266.8082996814296,NCD
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,294,All causes,1,Number,1991,110504.66931991088,113851.05635240964,107223.54555162803,All
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,294,All causes,3,Rate,1991,1044.3815448299304,1076.0083066682223,1013.3715872327824,All
