population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower,cause_group
1,All Population,1,Deaths,10,Cambodia,3,Both,27,Age-standardized,409,Non-communicable diseases,3,Rate,1990,662.4144396823183,751.8498450426102,573.7229023200258,NCD
1,All Population,1,Deaths,66,Brunei Darussalam,3,Both,27,Age-standardized,409,Non-communicable diseases,3,Rate,1992,756.7697327486179,777.9629886817728,729.465907083248,NCD
1,All Population,1,Deaths,66,Brunei Darussalam,3,Both,27,Age-standardized,409,Non-communicable diseases,3,Rate,1991,763.9416768453225,785.7972765415411,736.0106741019682,NCD
1,All Population,1,Deaths,18,Thailand,3,Both,27,Age-standardized,687,Injuries,3,Rate,1990,83.17044845023266,92.7811233531762,71.2257971349098,Injuries
1,All Population,1,Deaths,10,Cambodia,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,1382.0299780913726,1423.351262921375,1337.9127071909902,All
1,All Population,1,Deaths,10,Cambodia,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1990,593.5713974909205,685.7014156448797,500.6661213770533,CMNN
1,All Population,1,Deaths,20,Vietnam,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,928.9606781972004,953.4091837624252,900.6644451329631,All
1,All Population,1,Deaths,20,Vietnam,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1990,216.3481930941831,254.9073344657675,184.89072252859455,CMNN
1,All Population,1,Deaths,10,Cambodia,3,Both,27,Age-standardized,409,Non-communicable diseases,3,Rate,1992,659.2679238794918,741.7179834622335,582.097891539286,NCD
1,All Population,1,Deaths,69,Singapore,3,Both,27,Age-standardized,294,All causes,3,Rate,1992,660.0390386234551,671.0125894977135,650.4899282997951,All
1,All Population,1,Deaths,69,Singapore,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1992,88.95670778149226,95.19924460410026,81.62005639291355,CMNN
1,All Population,1,Deaths,69,Singapore,3,Both,27,Age-standardized,294,All causes,3,Rate,1991,674.811845489958,684.6673740085714,664.1450861769349,All
1,All Population,1,Deaths,69,Singapore,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1991,89.43942910565625,95.35766609108602,82.74032502174919,CMNN
1,All Population,1,Deaths,10,Cambodia,3,Both,27,Age-standardized,409,Non-communicable diseases,3,Rate,1993,654.8488062499807,736.9865884964356,579.1716075108086,NCD
1,All Population,1,Deaths,10,Cambodia,3,Both,27,Age-standardized,409,Non-communicable diseases,3,Rate,1991,660.5882999538405,742.9601170102894,579.0687902846079,NCD
1,All Population,1,Deaths,12,Lao PDR,3,Both,27,Age-standardized,409,Non-communicable diseases,3,Rate,1996,789.9484496581017,893.9879672647291,678.8396530769293,NCD
1,All Population,1,Deaths,10,Cambodia,3,Both,27,Age-standardized,687,Injuries,3,Rate,1996,114.61558152406576,137.62740445208706,89.436861953637,Injuries
1,All Population,1,Deaths,66,Brunei Darussalam,3,Both,27,Age-standardized,409,Non-communicable diseases,3,Rate,1994,736.5435938851485,757.444162292531,712.478819829532,NCD
1,All Population,1,Deaths,10,Cambodia,3,Both,27,Age-standardized,294,All causes,3,Rate,1991,1370.5764025856429,1410.3709193623326,1327.3894484225334,All
1,All Population,1,Deaths,10,Cambodia,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1991,584.7722147231722,677.6575756050078,492.26395041445215,CMNN
1,All Population,1,Deaths,10,Cambodia,3,Both,27,Age-standardized,294,All causes,3,Rate,1992,1354.707079241266,1393.279765629796,1316.2502333403545,All
1,All Population,1,Deaths,10,Cambodia,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1992,574.4223392125657,660.4976291865554,490.4217113269224,CMNN
1,All Population,1,Deaths,11,Indonesia,3,Both,27,Age-standardized,687,Injuries,3,Rate,1996,40.18344297966605,47.614003149861055,33.72554110726107,Injuries
1,All Population,1,Deaths,69,Singapore,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,699.6599935913714,710.5175558498466,688.7698448464504,All
1,All Population,1,Deaths,69,Singapore,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1990,91.73528540250908,98.1393065295043,84.83637254760853,CMNN
1,All Population,1,Deaths,69,Singapore,3,Both,27,Age-standardized,687,Injuries,3,Rate,1991,35.79521982372914,37.42511309038718,34.05212596059046,Injuries
1,All Population,1,Deaths,20,Vietnam,3,Both,27,Age-standardized,409,Non-communicable diseases,3,Rate,1990,608.6555026983563,652.1559501767555,573.0112962243849,NCD
1,All Population,1,Deaths,66,Brunei Darussalam,3,Both,27,Age-standardized,409,Non-communicable diseases,3,Rate,1993,747.7671659699847,768.8621738549509,721.7891021291096,NCD
1,All Population,1,Deaths,69,Singapore,3,Both,27,Age-standardized,687,Injuries,3,Rate,1992,34.869485083214194,36.4945661339203,33.153894400442915,Injuries
1,All Population,1,Deaths,10,Cambodia,3,Both,27,Age-standardized,294,All causes,3,Rate,1993,1341.276266189279,1384.796068186355,1298.476521095154,All
1,All Population,1,Deaths,10,Cambodia,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1993,565.7844998991789,647.9076726624982,491.4637417264401,CMNN
1,All Population,1,Deaths,20,Vietnam,3,Both,27,Age-standardized,687,Injuries,3,Rate,1990,103.9569824046614,123.12049081106632,88.4368546597252,Injuries
1,All Population,1,Deaths,15,Myanmar,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,1858.415018259164,1931.3901617703837,1792.8433774996824,All
1,All Population,1,Deaths,15,Myanmar,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1990,659.9920000616809,766.910841660772,571.4966068184747,CMNN
1,All Population,1,Deaths,10,Cambodia,3,Both,27,Age-standardized,294,All causes,3,Rate,1996,1295.7924244093565,1339.7856430901534,1257.0572138985706,All
1,All Population,1,Deaths,10,Cambodia,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1996,543.0155932957318,628.9806868105481,474.82939884886656,CMNN
1,All Population,1,Deaths,20,Vietnam,3,Both,27,Age-standardized,687,Injuries,3,Rate,1991,104.43064769892555,124.16342170150936,89.52878122004877,Injuries
1,All Population,1,Deaths,12,Lao PDR,3,Both,27,Age-standardized,294,All causes,3,Rate,1993,1944.8149559677008,2018.921726189083,1879.6016900283796,All
1,All Population,1,Deaths,12,Lao PDR,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1993,1074.950641594441,1194.523266747529,955.0648424582388,CMNN
1,All Population,1,Deaths,12,Lao PDR,3,Both,27,Age-standardized,294,All causes,3,Rate,1991,1984.75264415875,2052.770589643741,1919.024845010275,All
1,All Population,1,Deaths,12,Lao PDR,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1991,1131.1824272602416,1264.8341434455858,1004.751902606175,CMNN
1,All Population,1,Deaths,11,Indonesia,3,Both,27,Age-standardized,409,Non-communicable diseases,3,Rate,1996,603.3246569503376,645.531483105325,561.0715788476488,NCD
1,All Population,1,Deaths,66,Brunei Darussalam,3,Both,27,Age-standardized,409,Non-communicable diseases,3,Rate,1995,726.369343817708,747.6897653693048,702.8833823239952,NCD
1,All Population,1,Deaths,10,Cambodia,3,Both,27,Age-standardized,687,Injuries,3,Rate,1990,126.04414091813466,153.49612670278393,95.57197023092898,Injuries
1,All Population,1,Deaths,13,Malaysia,3,Both,27,Age-standardized,409,Non-communicable diseases,3,Rate,1996,672.8121399483658,704.1384247755014,640.7032646165933,NCD
1,All Population,1,Deaths,10,Cambodia,3,Both,27,Age-standardized,687,Injuries,3,Rate,1997,107.1633401182538,128.69925497888926,82.3030185552928,Injuries
1,All Population,1,Deaths,69,Singapore,3,Both,27,Age-standardized,294,All causes,3,Rate,1993,648.7708920173029,659.4426238989474,639.8279136988725,All
1,All Population,1,Deaths,69,Singapore,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1993,91.13274927370676,97.62434078992464,83.77656044393567,CMNN
1,All Population,1,Deaths,10,Cambodia,3,Both,27,Age-standardized,294,All causes,3,Rate,1994,1335.5755870193902,1385.5115351188108,1291.2578719784651,All
