year,yll,yll_lo,yll_hi,yld,yld_lo,yld_hi,ratio
1990,30304.51530585809,29624.66190814973,30990.84165841206,10621.652643628331,8120.33283218446,13556.36898691181,2.853088527992584
1991,29824.02159588116,29043.8929195964,30693.455663578417,10587.15298255958,8078.033335070179,13512.182724667951,2.817001099824555
1992,29212.509370364147,28319.07104739961,30089.034797773424,10539.86657392545,8024.656737678621,13452.4326654024,2.7716204152558155
1993,28574.072052678508,27712.370777380624,29398.97818256391,10495.9517156043,7984.39132524491,13376.573147997153,2.722389815322561
1994,27908.23258191352,27096.095280740024,28796.22342468132,10451.96587218599,7918.37535371873,13281.7268410594,2.6701419544605356
1995,27224.083137738515,26317.165478982755,28181.680441782573,10412.04785983508,7865.94990022504,13244.74346474911,2.6146713407605993
1996,26573.12374287135,25649.88443298025,27406.06309529221,10352.07724658143,7833.07096257633,13180.67117224882,2.566936384834899
1997,26064.93102348564,25275.97420748472,26825.48734971422,10281.78160143053,7810.80884367624,13073.97123712433,2.5350597818435627
1998,25241.565242379787,24607.684885215604,25957.940812238467,10182.33523307242,7722.332437192341,12977.60938373568,2.4789564146733944
1999,24521.304679997906,24043.95317731992,25029.129722601723,10083.40285921187,7639.37011960645,12842.68210437394,2.4318481590365137
2000,23903.57519311652,23275.599189634304,24616.98742918676,10015.714152798171,7583.63308390447,12768.97913202974,2.386607168340401
2001,23434.614769631,22780.32317516852,24146.259537417947,9973.49206073357,7555.592227682289,12700.37023788305,2.3496900210002614
2002,23052.05915471017,22289.36523567397,23745.688497137588,9911.87883608977,7522.21510781159,12590.26401062335,2.325700256824789
2003,22664.672716520086,21949.72448048258,23330.209627060554,9887.80341245385,7507.491172673191,12576.11032612039,2.2921848029435496
2004,22286.505481500943,21605.655548562216,22980.680806879624,9830.95652154586,7484.12157132204,12522.65438088234,2.2669722353727306
2005,21980.422800987,21309.33034287751,22674.066693381177,9809.01867358203,7498.906236331821,12489.86296269074,2.2408381034267366
2006,21705.19683681206,20987.90455194868,22398.89302286678,9766.92413520812,7458.2444445253905,12409.653783045893,2.222316518111211
2007,21441.813486508392,20778.60014589938,22189.60137068316,9722.4040229118,7411.41207663327,12347.22370616741,2.2054024329763147
2008,21180.22165816125,20499.457345405983,21952.251592765664,9670.32135933972,7389.29710172541,12254.53287514944,2.1902293492764975
2009,20959.893628732378,20335.25375295088,21682.555376677938,9643.99315905554,7379.54061330327,12216.18364019764,2.1733625566761634
2010,20687.353479357487,20076.737516735146,21382.1624868555,9608.65575013565,7355.59902522745,12135.64752892471,2.1529914295311743
2011,20324.083724353968,19622.30687326927,21119.57464391434,9586.92742789478,7330.774331554559,12143.71286542533,2.1199788855413284
2012,20043.3047446212,19313.80754214563,20711.428130513785,9579.76634588698,7326.01419362673,12181.40458590273,2.092254030102382
2013,19775.729910441183,19051.84199699674,20431.384414499586,9565.0469835593,7324.24401744565,12178.88293259702,2.06749950569321
2014,19475.42392777541,18790.685838870653,20105.93287162801,9548.91373389147,7288.18069935605,12179.84901680906,2.039543394203289
2015,19221.325344342546,18596.246538979965,19876.473271581523,9542.94652204976,7272.03885804502,12215.467792566047,2.0141918745882204
2016,18971.14168075125,18335.49157452948,19723.970185545404,9526.87834343012,7238.48991387403,12177.07233537371,1.9913282186325008
2017,18663.29757197201,18062.68462514543,19342.00894829373,9501.48447114862,7241.98266453579,12184.62478495614,1.9642507051022766
2018,18448.01912424164,17781.548851576805,19105.558012208126,9476.43395324841,7245.05604749765,12176.24815143392,1.9467258691670486
2019,18244.41499698831,17633.48039870343,18912.516338308586,9448.35642339042,7223.31983381847,12119.1018123566,1.9309617651406867
2020,18026.68479049193,17367.876112634913,18708.14584773124,9484.45913468025,7262.469669639559,12211.92212144735,1.9006550120055596
2021,18881.500739125284,18123.826656092555,19686.726446936005,9571.40165222829,7326.45142387766,12338.76718123043,1.9726996551993552
2022,18078.18569252932,17072.931772888885,18991.440447243403,9607.502434323553,7307.63943348645,12395.70431694232,1.8816738081630446
2023,17687.694041206145,16581.530921890106,18999.2973273304,9599.01309002062,7340.32369643629,12328.42326828658,1.8426575602438466
