country,30q70_1990,30q70_2000,30q70_2010,30q70_2023,delta_abs,rel_reduction_pct,AAPC_loglin,AAPC_loglin_CI,AAPC_joinpoint,AAPC_joinpoint_CI,n_joinpoints
Vietnam,22.166,20.196,20.199,19.504,-2.662,12.01,-0.366,"-0.42, -0.31",-0.366,"-0.42, -0.31",0
Thailand,21.236,22.18,17.115,15.465,-5.771,27.18,-1.438,"-1.65, -1.23",-1.438,"-1.65, -1.23",0
Indonesia,24.832,23.596,26.461,25.101,0.269,-1.08,0.336,"0.23, 0.45",0.336,"0.23, 0.45",0
Philippines,21.733,23.762,24.968,23.179,1.446,-6.66,0.327,"0.22, 0.44",0.327,"0.22, 0.44",0
Malaysia,23.625,23.069,19.517,18.575,-5.05,21.38,-0.863,"-0.98, -0.75",-0.863,"-0.98, -0.75",0
Myanmar,35.898,35.258,32.592,32.394,-3.504,9.76,-0.45,"-0.52, -0.38",-0.45,"-0.52, -0.38",0
Cambodia,21.067,19.542,19.325,19.283,-1.783,8.47,-0.363,"-0.42, -0.31",-0.363,"-0.42, -0.31",0
Lao PDR,26.201,27.435,27.419,29.48,3.278,-12.51,0.227,"0.18, 0.27",0.227,"0.18, 0.27",0
Singapore,22.457,16.195,10.634,7.683,-14.775,65.79,-3.6,"-3.71, -3.49",-3.6,"-3.71, -3.49",0
Brunei Darussalam,26.806,22.802,18.619,16.73,-10.076,37.59,-1.61,"-1.70, -1.53",-1.61,"-1.70, -1.53",0
Timor-Leste,23.358,22.312,19.904,22.128,-1.23,5.27,-0.219,"-0.37, -0.07",-0.219,"-0.37, -0.07",0
